uniprot	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway
MFAP1	0.09543198880264667	0.3091996437205752	0.2735717012342538	0.003181066293421555	0.3154345336556814	0.003181066293421555
SF3A3	0.4347857845222522	0.005434822306528152	0.005434822306528152	0.005434822306528152	0.5434749262516352	0.005434822306528152
KLHL38	0.7337509788566954	0.007830853563038372	0.007830853563038372	0.007830853563038372	0.2349256068911512	0.007830853563038372
TEKT4	0.38934487150128766	0.004017467950649424	0.28122275654545964	0.004017467950649424	0.31737996810130453	0.004017467950649424
ZFYVE26	0.5425384757817691	0.005445970526407511	0.4356776421126009	0.005445970526407511	0.005445970526407511	0.005445970526407511
ZSCAN22	0.3441792829885087	0.0035852008644636324	0.2868160691570906	0.0035852008644636324	0.3582490452610098	0.0035852008644636324
PGBD1	0.30900723208415515	0.2629848783694938	0.09861932938856018	0.003287310979618672	0.3228139381985536	0.003287310979618672
ZNF385C	0.010131712259371834	0.010131712259371834	0.010131712259371834	0.010131712259371834	0.9493414387031408	0.010131712259371834
GMCL1	0.404348479072078	0.005776406843886829	0.005776406843886829	0.005776406843886829	0.5725458935523746	0.005776406843886829
GAGE13	0.556338028169014	0.00704225352112676	0.2112676056338028	0.00704225352112676	0.00704225352112676	0.2112676056338028
TXLNA	0.27167263097935035	0.23371699155140258	0.23371699155140258	0.002717639436644216	0.2554581070445563	0.002717639436644216
GEM	0.31901209158734245	0.25726781579624397	0.3208129662979162	0.0032158476974530493	0.0964754309235915	0.0032158476974530493
ZNF572	0.402854511970534	0.005755064456721915	0.005755064456721915	0.005755064456721915	0.5741252302025783	0.005755064456721915
DGCR6L	0.010989010989010988	0.010989010989010988	0.010989010989010988	0.010989010989010988	0.945054945054945	0.010989010989010988
TBC1D22B	0.47635993899339096	0.005083884087442807	0.35587188612099646	0.005083884087442807	0.15251652262328422	0.005083884087442807
GNAI3	0.18294593913597665	0.1464084041937809	0.18193440347140183	0.12810735366955828	0.18271768843383854	0.17788621109544378
BEX5	0.945054945054945	0.010989010989010988	0.010989010989010988	0.010989010989010988	0.010989010989010988	0.010989010989010988
VASN	0.09965811404640082	0.19306316995655687	0.1953095810920028	0.16805093741157787	0.18759174408734272	0.15632645340611895
KRTAP9-2	0.26288659793814434	0.36082474226804123	0.005154639175257732	0.005154639175257732	0.005154639175257732	0.36082474226804123
LMO4	0.003770739064856712	0.003770739064856712	0.3544494720965309	0.003770739064856712	0.37028657616892907	0.2639517345399698
RTP5	0.3278008298755188	0.33195020746887977	0.3278008298755188	0.004149377593360998	0.004149377593360998	0.004149377593360998
LENG1	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666
ZNF408	0.482897384305835	0.005030181086519115	0.005030181086519115	0.005030181086519115	0.4969818913480885	0.005030181086519115
ZNF581	0.00992063492063492	0.00992063492063492	0.00992063492063492	0.00992063492063492	0.9503968253968254	0.00992063492063492
ATP6V1G1	0.2891345035454712	0.0029520992377679773	0.20664694664375838	0.20664694664375838	0.2916674046914761	0.0029520992377679773
BCAS2	0.48818901706293355	0.00492126025265054	0.00492126025265054	0.00492126025265054	0.49212594192646436	0.00492126025265054
