uniprot	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway
ARF5	4.499	4.28	3.682	1.65	1.602	4.373
MPRD	5.0	3.718	4.47	1.56	1.685	5.0
FKBP4	4.896	4.343	4.3	3.764	4.817	4.307
CP26B	5.0	2.432	1.651	1.127	2.076	4.0
NDUF7	5.0	4.0	0.0	5.0	1.078	0.0
FUCO2	4.789	5.0	1.004	1.611	2.317	4.253
HS3S1	4.424	2.902	1.923	0.0	1.052	4.293
SEM3F	2.727	4.375	4.265	1.373	2.012	1.899
CFTR	5.0	2.981	5.0	2.263	4.514	5.0
A0A0C4DFL7	4.801	2.096	2.402	2.519	2.005	4.766
UBP28	5.0	1.072	1.108	1.213	5.0	1.0
CTR2	1.737	1.503	4.679	1.486	1.527	1.049
PDK4	5.0	2.048	1.828	5.0	2.501	1.703
USH1C	4.533	1.565	5.0	1.201	2.677	1.386
RALA	5.0	4.39	5.0	1.815	2.979	4.474
BI2L1	5.0	4.203	4.599	0.862	4.631	4.206
CCG3	4.224	0.899	5.0	0.757	0.944	4.177
T132A	4.34	4.191	2.673	0.0	0.0	4.301
DVL2	5.0	1.902	3.268	1.317	4.824	5.0
RPAP3	4.677	0.861	1.565	0.0	2.838	0.799
SKAP2	4.813	1.779	5.0	1.156	4.595	1.434
TEST	4.58	4.666	4.256	0.0	1.13	1.004
HXA11	5.0	1.784	1.341	1.293	5.0	1.137
X3CL1	4.186	5.0	5.0	2.642	2.499	2.254
TPC6A	4.649	1.143	1.273	1.085	2.007	3.806
WDR54	5.0	0.7	0.638	2.56	0.375	5.0
SPT20	3.509	3.0	0.0	2.295	2.626	0.647
CEAM7	5.0	4.377	5.0	1.125	0.938	0.677
RHBD2	4.543	0.0	3.051	0.706	4.405	4.556
TSR3	4.625	1.366	1.301	0.938	1.362	1.188
OSBL7	4.747	0.888	4.171	0.0	4.732	4.15
YBOX2	4.387	1.163	0.947	1.034	4.38	1.11
ITA3	4.65	4.613	5.0	1.326	1.853	4.35
KT33A	4.572	4.121	0.0	1.312	0.797	1.058
AP2D	4.271	0.562	0.598	0.0	4.191	0.651
CRY1	5.0	1.898	2.111	3.217	5.0	1.585
PGRP1	4.53	4.646	2.406	2.124	1.985	4.358
STR3N	5.0	0.552	3.017	0.641	0.628	5.0
KCC1G	4.316	1.065	3.337	1.073	1.984	3.0
HG2A	5.0	4.479	4.515	2.395	4.589	5.0
FA76A	5.0	0.375	0.0	0.0	5.0	0.0
CBPA1	2.233	5.0	1.745	1.342	1.576	1.724
