uniprot	pca0	pca1	pca2	pca3	pca4	pca5
METK1	2.278048998674149	1.823117884069263	1.8583022857630083	2.374668449165059	2.8897592760893698	3.2725488024625964
MLKL	2.3989206785456894	1.997590371054185	3.3188497293246	2.5839636919556783	2.1421828505007583	1.681173535534791
MICA2	2.9916816434237843	2.4699347425429186	2.038863058028414	2.0417552549367532	2.487843460388005	2.555926664292536
MICA1	2.9620387988400347	1.9499788521898567	2.5272829677048056	2.4666351280717755	3.119890880642975	1.9055604758907676
MED4	3.244298560817204	2.387337999995428	2.348348747407707	1.9885470285985325	1.0964484451594019	2.1404754723296753
MEIOB	2.9032573497059917	1.872382569060995	1.9431164754581696	1.8558071640435232	1.912197339656561	1.6737793347196772
MEFV	3.357964167619989	2.560155206563898	2.6573276223678457	2.671481282222132	3.147259036006286	1.9589121226266855
MOT11	0.8254995673245913	2.3200078198293186	2.6839819292555576	1.2140271129661855	2.1778064441123597	1.955514539693436
MRS2	1.1060582131728252	2.1102002812267027	2.562489937712522	1.0461304180199114	2.1935030175415715	2.2269922337991592
MS18A	3.214366620505608	2.806297263117038	2.202877736885224	2.2420094826275103	2.1133971672497145	2.8016340403043207
MSD3	2.739435670090763	1.8125344710888613	2.4457725695207655	2.251925036686215	1.599548900234561	2.4348724135893076
MOGT3	1.12219614220567	2.3864545322696564	2.7936737692585125	1.834096996438035	2.223065840869709	2.153632261190144
MOGS	0.8220963638083743	2.316691467165261	2.355884077202508	1.6523926783987721	2.153157961233092	2.6130865322801236
MMP13	1.9836275904593141	2.5870594849214146	1.0205591124548026	3.8623659911309165	2.8306627540952993	2.845847061778557
OSB10	2.6599030021788943	1.3461677035415835	2.8614939837680953	2.3839082738751878	2.2781812842311338	1.5516579257810132
NUD4B	2.602036595064912	1.633760819725457	1.9211777832867498	1.9919906115088837	2.8954732561199803	2.0622272110817663
O51A7	0.2515960262904531	2.5893963262672393	2.11490848642806	2.0088296436695665	1.8527182204554826	1.8882533553248686
NXPE2	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
PADI3	2.4843499655640295	1.3524074084380344	2.11738338508774	2.1263266171995947	2.4073290080519048	2.0492252622659866
PGAM1	2.593284073077971	1.5080521485038174	2.4032790635751806	2.2137509914727085	1.9048648059921645	2.670385090576391
PDRG1	2.476652583655957	1.322162696425945	2.0331852671610484	1.8803617019193746	2.305697740011081	1.6794701906635705
P2RY8	0.48420201256856776	2.517576814128801	2.3396575140970426	1.6551572784174813	1.9548486520528057	1.8565169914566857
PEPL	2.1528741539732152	1.9501461727904632	3.0073673002017727	2.759294614982309	2.597459216181174	0.7635087631524946
PP4R2	2.9578278247253276	1.6906287636158983	2.6671891742236977	2.388429780276913	1.9077517667597883	1.5449769245775726
PEPL1	2.5563981116817938	2.0351212233162372	1.489938806083991	1.7034771430384599	3.038777591752075	2.6355006543556962
PP6R3	2.919172652618801	1.7423993062959076	2.557436759974557	2.2891995557846156	1.830180174146194	1.73768925647791
PLAC9	2.0595062139783447	1.3506497520427874	1.1352830499315085	2.267163054107921	1.972490832706416	2.294965606909994
POPD1	0.8136249129395634	2.4876595030185245	2.974808070599077	2.108178394456257	1.9744148019315277	2.2979131432748856
PLAG1	3.809416570612359	4.074458582539337	1.4367595605147065	1.8969534953618266	2.0696630762360138	2.276159790411126
PPR1C	2.476652583655957	1.322162696425945	2.0331852671610484	1.8803617019193746	2.305697740011081	1.6794701906635705
PRAC2	2.593035460735711	1.7336367209535104	1.7383004647608364	1.5904849931506413	1.7864206617479135	2.0246279753764327
PPIL4	2.974795658240832	2.1797408228159707	2.3942782564624405	2.2078645857594315	1.2504034768005443	2.4379614512902164
PRCA1	2.468665832619463	1.5328832736602287	2.1979751976369166	2.015897869121466	1.938796443994643	2.3016611093660915
PUR4	2.815086411486581	1.6986411717485077	2.7025497316496283	2.518466108188313	2.856783424159801	2.4854204638577997
PTHR	2.510473878664902	1.6049874060472742	1.6036154893267547	2.715869914084343	1.8900892653996073	1.9629557697467288
PSMD3	2.6913508097012864	1.8692457942343483	2.3619898764937264	2.2161520968122232	1.5643501508563527	2.547368485377876
PSG3	1.5772840258631682	1.820516751319917	0.6357984012605333	3.165130814064585	2.0276086874143844	1.9447933012600376
RBM42	3.036554355856456	1.7321450904962155	2.7874133850437355	2.41649293616891	1.720831970644532	1.9686201818107096
